mu,k1_1,k1_2,k2_1,k2_2,kappa
2.424129032110947879e+00,3.212260234476750131e+00,1.247666533503370090e+00,4.620399919756148499e+00,6.920675607634703574e+00,1.832649090342786167e+02
2.385257908269986071e+00,3.190015893542037961e+00,1.603037313832872179e+00,4.395668950476750325e+00,4.506707438956373046e+00,1.814527242143717558e+02
2.436564810420475791e+00,3.134765892060082493e+00,1.724942595577253934e+00,4.756973502670582832e+00,3.393320606267998141e+00,1.834972514992352899e+02
2.323505207647868609e+00,3.634379430091161822e+00,1.722727026857141741e+00,3.435077519690926451e+00,4.884608824402600469e+00,1.812940451213572146e+02
2.461388013371661909e+00,3.118608507360126403e+00,1.167230674384804212e+00,4.400319662181854774e+00,7.354578201187711883e+00,1.817289055514414144e+02
2.451549987255679852e+00,3.000420661994711136e+00,1.391545123619378543e+00,5.346896080503357851e+00,5.729029372807262099e+00,1.847047566017585609e+02
2.386266813131880493e+00,3.178834401747180127e+00,1.464589104970737354e+00,4.668362618360341720e+00,5.180562713357907967e+00,1.839183387632739652e+02
2.372054233199498263e+00,3.226365660378051281e+00,1.434288830335316289e+00,4.690840971425016548e+00,5.821094363994684606e+00,1.824890429724368914e+02
2.360691547267099732e+00,3.274750807689251086e+00,1.430159899550330405e+00,4.462448100319094557e+00,5.898510347638561413e+00,1.824632024834861852e+02
2.373949008333614330e+00,3.359682063145772890e+00,1.461757038172728729e+00,3.970106167873561631e+00,5.407920760171741392e+00,1.846525485174186088e+02
2.286568214690179346e+00,3.585880543407963028e+00,1.669287687605038650e+00,3.604254073054476315e+00,5.269041533168258518e+00,1.836268390417514524e+02
2.449437207887260826e+00,3.177748482810301756e+00,1.250007800385094292e+00,4.421656045228799847e+00,6.398905743145127722e+00,1.835975071542627859e+02
2.344032218909911869e+00,3.417754082292534523e+00,1.528311246614257879e+00,4.015761952758823305e+00,4.880310492777984344e+00,1.810498177122377399e+02
2.486340990255557770e+00,3.178214291721205953e+00,1.343124750971642634e+00,4.772534536210996770e+00,4.821303934571662175e+00,1.809446066875044039e+02
2.446534549056670560e+00,3.148767980933968147e+00,1.435939087072586107e+00,4.911009237909481406e+00,4.645037954752324616e+00,1.817240023206533408e+02
2.393115777051328052e+00,3.235554561375527882e+00,1.643596179051874939e+00,4.610618514137482471e+00,4.256952026510296250e+00,1.804536051385198618e+02
2.456666421801541933e+00,3.024709123021283030e+00,1.317212569448263038e+00,5.398806508534240045e+00,5.861042106253566253e+00,1.825874681554395522e+02
2.332970239012433833e+00,3.552987298925880388e+00,1.587980672831974083e+00,3.603758948385725525e+00,5.311333690285271025e+00,1.789420306314134166e+02
2.448544429758448882e+00,2.998441268205115140e+00,1.417585325663480722e+00,5.011957336671334140e+00,5.028768088689036908e+00,1.796180077304667577e+02
2.457735089289561525e+00,3.135213686513032005e+00,1.214885400829570861e+00,4.773943418053024246e+00,6.422959669394729509e+00,1.832688487955255709e+02
2.403184603601026925e+00,3.163188686449304843e+00,1.504032639013226147e+00,4.791588515463138798e+00,5.310517748330083165e+00,1.821024595466134031e+02
2.454362819738234336e+00,3.177053426818470694e+00,1.176702480481823354e+00,4.619704798641361521e+00,6.408045075326734619e+00,1.799463732167041599e+02
2.389257780781834928e+00,3.316895012641102092e+00,1.220981446424203920e+00,4.221017478177667037e+00,6.660194798161824359e+00,1.814782180967964678e+02
2.372925991314846605e+00,3.656532821921253618e+00,1.547957617358693083e+00,2.866715295186789803e+00,5.348147548802435480e+00,1.807929569844827995e+02
2.359370432798828965e+00,3.236537184983042437e+00,1.695780869254998047e+00,4.545974875369060086e+00,4.904184707613886474e+00,1.807431199001541131e+02
2.385790276458450432e+00,3.143593590903859258e+00,1.835344547317232067e+00,4.764353502710505950e+00,3.336376022137844455e+00,1.804250089006825419e+02
2.415809327720090049e+00,3.079933311104763760e+00,1.506143016326274342e+00,4.755441835128241479e+00,5.226899603662960025e+00,1.800543409785680069e+02
2.408418922686164976e+00,3.130368859072345966e+00,1.482094933334535902e+00,4.737967546699210608e+00,5.481579410527361418e+00,1.784083284963274139e+02
2.386566893904574993e+00,3.159576346089071563e+00,1.530040103225318360e+00,4.863947968451018511e+00,5.029340544498753118e+00,1.815135483409121662e+02
2.431296220027789445e+00,3.286679481474690245e+00,1.282970553513049117e+00,4.427471710617508549e+00,5.830745035542336474e+00,1.801127704437265606e+02
2.408686594328544039e+00,3.179634391704827756e+00,1.623500360972933709e+00,4.784851825054152741e+00,4.406143572726538338e+00,1.812141187403721858e+02
2.424943471118855332e+00,3.323820894157765160e+00,1.257676712120101570e+00,4.209390748640955415e+00,6.418983633436035952e+00,1.799617676651426166e+02
2.377747464967268520e+00,3.271731725043838246e+00,1.792411362469524594e+00,4.531416292159076598e+00,3.368723526533111023e+00,1.799131947489341883e+02
2.452519078904872973e+00,3.338082727230331503e+00,1.075370012817106424e+00,3.672059219041249545e+00,7.477836629084770870e+00,1.809852111422206917e+02
2.414246845521180074e+00,3.318777005463017904e+00,1.472135644383449904e+00,3.878913384638301487e+00,4.633572101047892744e+00,1.782361201778853683e+02
2.463036643785602386e+00,2.975187038541448725e+00,1.257619969778820845e+00,5.251941679833422860e+00,6.414625206951064307e+00,1.802883609377169307e+02
2.469354839990647754e+00,3.088427428392120699e+00,1.394783119413864236e+00,4.774630678470951572e+00,4.900264776563736824e+00,1.827642316823951489e+02
2.392650251434075503e+00,3.127301582130245006e+00,1.375797152433099635e+00,4.823544002418667098e+00,6.103628587877063083e+00,1.811279914133856437e+02
2.455358303776508322e+00,2.977973713119345334e+00,1.405904693716003573e+00,5.178522090869718042e+00,5.033764163690583437e+00,1.842992234974642258e+02
2.404683559719817065e+00,3.268614293810660154e+00,1.669395161705739428e+00,4.612237463945875859e+00,4.434513777116769084e+00,1.827710952590203703e+02
2.324894733858575258e+00,3.488080704320365211e+00,1.972789295696354639e+00,3.900394966709218814e+00,3.305209708049964057e+00,1.813003966816142736e+02
2.423430759324213479e+00,3.073134452540222217e+00,1.349119276106375054e+00,4.855686513155551332e+00,5.320455925783654116e+00,1.816071227386474902e+02
2.418999029892535901e+00,3.253163929182265601e+00,1.416753514187710561e+00,4.288011444307278985e+00,5.386011504442079989e+00,1.792068564004119935e+02
2.445406876006988472e+00,3.200971946337299201e+00,1.243364372245364224e+00,4.527879875513049157e+00,6.198480576588008439e+00,1.826969255056377222e+02
2.356628834329683286e+00,3.197054385833682844e+00,1.622905946307411140e+00,5.015164594116858332e+00,4.605372821124861460e+00,1.815776865221717173e+02
2.401609790412005285e+00,3.269273136968359417e+00,1.489561797969076951e+00,4.468399012111815338e+00,4.565204320320209952e+00,1.798706629810562845e+02
2.402653540117718922e+00,3.255244260346580099e+00,1.650451653209267233e+00,4.343201483687228581e+00,3.649837018388551346e+00,1.816003542549353540e+02
2.357598646442325308e+00,3.307882069624011656e+00,1.857143635516057545e+00,4.306695698969876140e+00,3.161396076874774863e+00,1.817385788483048543e+02
2.430972199248106147e+00,2.983292057825948973e+00,1.313604952244726842e+00,5.400896091554623801e+00,5.877889132715393927e+00,1.788053556550329404e+02
2.413269229816911388e+00,3.315356288385112649e+00,1.620282582101138402e+00,4.481400527351119933e+00,4.378797291085469112e+00,1.820621175395782529e+02
2.358961057119146609e+00,3.215640477214323667e+00,1.502053461050250727e+00,4.698465295816637521e+00,5.701920620619547186e+00,1.826549355521672169e+02
2.334057029150074403e+00,3.356594739680110351e+00,1.828036942340705462e+00,4.191325828692349376e+00,3.908074788362426055e+00,1.813617299477084828e+02
2.507083467052351633e+00,2.957739157083801640e+00,1.313141164031136565e+00,5.199872647680179760e+00,5.001209483356880980e+00,1.805468432325532717e+02
2.466142611037125842e+00,2.922755714075103484e+00,1.441907516860111871e+00,5.500807037965921076e+00,4.171013503837611935e+00,1.841405329430096174e+02
2.386026952957136071e+00,3.266552624542112149e+00,1.544384814142610862e+00,4.717398712989612442e+00,4.875564208478616379e+00,1.820483224529694439e+02
2.439510993509177439e+00,3.288062229264286707e+00,1.091560097912757765e+00,4.197224703711521343e+00,8.038922443880062829e+00,1.817153533522007365e+02
2.473195058999796192e+00,3.009233146894155997e+00,1.439686906593868443e+00,4.756069967886712213e+00,4.715505239589576902e+00,1.843352430628530669e+02
2.376738467403701538e+00,3.335780119241900987e+00,1.587381341205598595e+00,4.204200624191983593e+00,4.311297540348156154e+00,1.830599839529952817e+02
2.433695847325870965e+00,3.267120112356727279e+00,1.481772930061609372e+00,4.449388322397523687e+00,4.989896989869140320e+00,1.804547832957667595e+02
2.465502767231837922e+00,3.078877253280679849e+00,1.308619733909914151e+00,4.638242344932013594e+00,5.460394551270793428e+00,1.808249198843276702e+02
2.345635549811661669e+00,3.320267847155537577e+00,1.510012842804588917e+00,4.384843564953535555e+00,5.416586451958687043e+00,1.774923827177593409e+02
2.441862826820900167e+00,3.147892430813244768e+00,1.350382046293911564e+00,4.893993379373310582e+00,5.846296366786927656e+00,1.814293731201752848e+02
2.438562949793828594e+00,3.299410754614299890e+00,1.325985871404089078e+00,4.262424169404781971e+00,5.916924045015566236e+00,1.808307815439584090e+02
2.376231239201026302e+00,3.260425572569508823e+00,1.512438013182180852e+00,4.863346252248544666e+00,5.472129355506036852e+00,1.853233821161017261e+02
2.469629823476048092e+00,2.996739020634696882e+00,1.528768281069914803e+00,5.034839112028319796e+00,4.287015788970254704e+00,1.827374479800430151e+02
2.476262825274802459e+00,2.958961843076741705e+00,1.244414440477960238e+00,5.311409678876470863e+00,5.945407043191631047e+00,1.820958655293445929e+02
2.451087453454100729e+00,2.985560104631670431e+00,1.185257067312234680e+00,5.558755564461460352e+00,6.434466082502746431e+00,1.813865462720139305e+02
2.373226775534325039e+00,3.305222782538504767e+00,1.692093222264121621e+00,4.346310189347117436e+00,3.966395278533183966e+00,1.811972014333541381e+02
2.527603889402776360e+00,2.981329021852092254e+00,1.221904280558548939e+00,5.509440623136750759e+00,5.741467761258931546e+00,1.807437137712141748e+02
2.402889860508897080e+00,3.141001906809878452e+00,1.622382098190073396e+00,4.805908335796460484e+00,4.327717255472072644e+00,1.802702477164895356e+02
2.464380570209029564e+00,2.862879989179064388e+00,1.096355340329769446e+00,6.017175931908485431e+00,7.060378100684477687e+00,1.820900419864962885e+02
2.455935554084348826e+00,3.223797194046506220e+00,1.275158103903577755e+00,4.269449233035905067e+00,5.779227545319632675e+00,1.814253143376091657e+02
2.351041589637600016e+00,3.426527848631935491e+00,1.752736884498851566e+00,4.230087394390031896e+00,4.105544677835210265e+00,1.816477596552186071e+02
2.361751515899235709e+00,3.292076123005286181e+00,1.592987626636695575e+00,4.470390348462657926e+00,4.671614897527923027e+00,1.809113131789802935e+02
2.404040550059572734e+00,3.050921278449385099e+00,1.638308743084579300e+00,5.235182328853756673e+00,4.149017571308503349e+00,1.864941784505447231e+02
2.471765721494084911e+00,2.942296311905255202e+00,1.192855653982949127e+00,5.367369632751354480e+00,6.484005490757660972e+00,1.810794142427435816e+02
2.452679353960871556e+00,3.163850510650799475e+00,1.466972939270778431e+00,4.398673229656822059e+00,4.263157213316034699e+00,1.825249836478272982e+02
2.419718438687816331e+00,3.137775017849631976e+00,1.635537343646366937e+00,4.545215852908444987e+00,4.148436695138883579e+00,1.849598599112037789e+02
2.404673140961303801e+00,3.216160293896836109e+00,1.316824387873049673e+00,4.691351118414380572e+00,6.034745432116777941e+00,1.838021930463426656e+02
2.390000243336035446e+00,3.295434674456783508e+00,1.599110134999718102e+00,4.433778510067152290e+00,4.552460791714683985e+00,1.806504242880666595e+02
2.415301183403756102e+00,3.201983358408205582e+00,1.343267806282701704e+00,4.707138464448621384e+00,5.850499294745641343e+00,1.787462800153868159e+02
2.523041116251243832e+00,2.927100113483736887e+00,1.283606303898366940e+00,5.406610868826032146e+00,5.347624561514130903e+00,1.813426106012979631e+02
2.448422647978894418e+00,3.026335243867516844e+00,1.203902684687845115e+00,5.007226697113750902e+00,6.814818266415935355e+00,1.813010437707909261e+02
2.383587820994561124e+00,3.215062290687046520e+00,1.427225988970873383e+00,4.878180339091047202e+00,5.902235066380153938e+00,1.836077375510789125e+02
2.363926951651041719e+00,3.329168758180376386e+00,1.579912393752827438e+00,4.264345437097180280e+00,4.374533258535425517e+00,1.825642600101910205e+02
2.405864322011728174e+00,3.084710598569115003e+00,1.962440261486948723e+00,5.012719322738723449e+00,2.486772854739048633e+00,1.821738049137559017e+02
2.440830726978360676e+00,2.962924934243870823e+00,1.477378724144516431e+00,5.373383116463952724e+00,4.542323195145079318e+00,1.830097417437808645e+02
2.432141183284346919e+00,3.178328905761692358e+00,1.384632180668742052e+00,4.791244687315244555e+00,5.997608692759975213e+00,1.802376410869230767e+02
2.445527433180644472e+00,3.143951790079183795e+00,1.146917891902090370e+00,4.844770698645190166e+00,7.539065617113843487e+00,1.814209421118962098e+02
2.398520482499666429e+00,3.270003512951086933e+00,1.682124674580361301e+00,4.362021945229823672e+00,3.474655286337868798e+00,1.840734358175626824e+02
2.407783841613256204e+00,3.190385224663390584e+00,1.440093314871659036e+00,4.754913790502357962e+00,5.634255101242017005e+00,1.835246805892295470e+02
2.301447823873178145e+00,3.455703483549742661e+00,1.877668888242471690e+00,3.782735246532451967e+00,3.914328927831798755e+00,1.816276074370886420e+02
2.380239084955140250e+00,3.243116928258560350e+00,1.539206736774334949e+00,4.688979648295722669e+00,5.049645454852630166e+00,1.810351358673758000e+02
2.462574463826004756e+00,2.999085479981695279e+00,1.428973793730431208e+00,5.172463111886334453e+00,4.706979633638229465e+00,1.844351129074649407e+02
2.436704875935256531e+00,3.194864753297760984e+00,1.543065308533539071e+00,4.492704546084374861e+00,4.315574927221923041e+00,1.804896731966564971e+02
2.378144125057651159e+00,3.425562990041454370e+00,1.693889642706325915e+00,4.027717622010456466e+00,4.500771749098597674e+00,1.815904777625491420e+02
2.450187847396762653e+00,3.016781704942472775e+00,1.420899117189327265e+00,5.089074613664905655e+00,5.032521065915094738e+00,1.808072672075006153e+02
2.228794697989725737e+00,3.765375264048386850e+00,1.923011937144416317e+00,3.265674532860347146e+00,4.637684928073272594e+00,1.797264660688402671e+02
2.417100292381399562e+00,3.405228255348652588e+00,1.165087250445249634e+00,3.874937897474319826e+00,6.845616323697599093e+00,1.823060097634798353e+02
2.382018810451928648e+00,3.173573581257766563e+00,1.368499439745205715e+00,4.997081440676029551e+00,5.948448416447147835e+00,1.811835774929737966e+02
