protocol,load_value,F_11,F_12,F_21,F_22,stress_row,stress_column,observed_stress,noise_std,fitted_stress
uniaxial_x,1.0,1.0,0.0,0.0,1.0,0,0,-0.03974372119036394,0.05011044628693974,6.573891838971821e-16
uniaxial_x,1.015,1.015,0.0,0.0,0.9852216748768474,0,0,0.15899304621243643,0.05011044628693974,0.1474419205216842
uniaxial_x,1.03,1.03,0.0,0.0,0.970873786407767,0,0,0.20734036232500458,0.05011044628693974,0.3033963756059712
uniaxial_x,1.045,1.045,0.0,0.0,0.9569377990430623,0,0,0.5381400216687797,0.05011044628693974,0.4697836879075769
uniaxial_x,1.06,1.06,0.0,0.0,0.9433962264150942,0,0,0.6788029673978776,0.05011044628693974,0.6490001426805393
uniaxial_x,1.075,1.075,0.0,0.0,0.9302325581395349,0,0,0.8265853221831826,0.05011044628693974,0.8440512034763382
uniaxial_x,1.0899999999999999,1.0899999999999999,0.0,0.0,0.9174311926605506,0,0,1.0395470130159865,0.05011044628693974,1.0587290538614862
uniaxial_x,1.105,1.105,0.0,0.0,0.9049773755656109,0,0,1.3087137132222868,0.05011044628693974,1.2978503511098807
uniaxial_x,1.1199999999999999,1.1199999999999999,0.0,0.0,0.8928571428571429,0,0,1.5488661452192192,0.05011044628693974,1.5675764237401468
uniaxial_x,1.135,1.135,0.0,0.0,0.8810572687224669,0,0,1.858127492859667,0.05011044628693974,1.8758472542615698
uniaxial_x,1.15,1.15,0.0,0.0,0.8695652173913044,0,0,2.2613320954103617,0.05011044628693974,2.232973765548704
uniaxial_x,1.165,1.165,0.0,0.0,0.8583690987124464,0,0,2.668891215991155,0.05011044628693974,2.6524521423837455
uniaxial_x,1.18,1.18,0.0,0.0,0.8474576271186441,0,0,3.137482939655227,0.05011044628693974,3.1520921653147287
uniaxial_y,1.0,1.0,0.0,0.0,1.0,1,1,-0.0019958577198208654,0.023349765660105187,1.6878463749309506e-16
uniaxial_y,1.015,0.9852216748768474,0.0,0.0,1.015,1,1,0.09125535865409996,0.023349765660105187,0.08576928058800494
uniaxial_y,1.03,0.970873786407767,0.0,0.0,1.03,1,1,0.1631490957826893,0.023349765660105187,0.17394784731544022
uniaxial_y,1.045,0.9569377990430623,0.0,0.0,1.045,1,1,0.2608897660694983,0.023349765660105187,0.2649823806391455
uniaxial_y,1.06,0.9433962264150942,0.0,0.0,1.06,1,1,0.37922500728688496,0.023349765660105187,0.3594361764245719
uniaxial_y,1.075,0.9302325581395349,0.0,0.0,1.075,1,1,0.46329130227116944,0.023349765660105187,0.4580285406294595
uniaxial_y,1.0899999999999999,0.9174311926605506,0.0,0.0,1.0899999999999999,1,1,0.5386319881382097,0.023349765660105187,0.5616889133757811
uniaxial_y,1.105,0.9049773755656109,0.0,0.0,1.105,1,1,0.6692671525082904,0.023349765660105187,0.6716318233821991
uniaxial_y,1.1199999999999999,0.8928571428571429,0.0,0.0,1.1199999999999999,1,1,0.8117741299119285,0.023349765660105187,0.7894615776519286
uniaxial_y,1.135,0.8810572687224669,0.0,0.0,1.135,1,1,0.9147147272986523,0.023349765660105187,0.9173197994433661
uniaxial_y,1.15,0.8695652173913044,0.0,0.0,1.15,1,1,1.0497143890920049,0.023349765660105187,1.0580953046105965
uniaxial_y,1.165,0.8583690987124464,0.0,0.0,1.165,1,1,1.2127429652676935,0.023349765660105187,1.2157255668743758
uniaxial_y,1.18,0.8474576271186441,0.0,0.0,1.18,1,1,1.3992552670478011,0.023349765660105187,1.3956341151903693
simple_shear,0.0,1.0,0.0,0.0,1.0,0,1,-0.008685703996374894,0.012178690350790042,1.9090719030814854e-16
simple_shear,0.02,1.0,0.02,0.0,1.0,0,1,0.07574665908997308,0.012178690350790042,0.059591371735594756
simple_shear,0.04,1.0,0.04,0.0,1.0,0,1,0.10393902997254328,0.012178690350790042,0.11944777544101054
simple_shear,0.06,1.0,0.06,0.0,1.0,0,1,0.18095494460234096,0.012178690350790042,0.17961823423419382
simple_shear,0.08,1.0,0.08,0.0,1.0,0,1,0.22485123902718887,0.012178690350790042,0.24015536451990213
simple_shear,0.1,1.0,0.1,0.0,1.0,0,1,0.3162462974231886,0.012178690350790042,0.3011158462309933
simple_shear,0.12,1.0,0.12,0.0,1.0,0,1,0.3711192336601413,0.012178690350790042,0.362560950011371
simple_shear,0.14,1.0,0.14,0.0,1.0,0,1,0.4365441526681334,0.012178690350790042,0.42455712929937245
simple_shear,0.16,1.0,0.16,0.0,1.0,0,1,0.4742499804133219,0.012178690350790042,0.4871766864743405
simple_shear,0.18,1.0,0.18,0.0,1.0,0,1,0.5564177601989996,0.012178690350790042,0.5504985236280249
simple_shear,0.2,1.0,0.2,0.0,1.0,0,1,0.6055917874207437,0.012178690350790042,0.6146089901502577
dilation,1.0,1.0,0.0,0.0,1.0,0,0,-0.04520913960869736,0.09884256994357131,6.573891838971821e-16
dilation,1.00225,1.00225,0.0,0.0,1.00225,0,0,0.8796225189049157,0.09884256994357131,0.8369252869921848
dilation,1.0045,1.0045,0.0,0.0,1.0045,0,0,1.7367257481500418,0.09884256994357131,1.6647270568359804
dilation,1.00675,1.00675,0.0,0.0,1.00675,0,0,2.4818588977547944,0.09884256994357131,2.483519048624116
dilation,1.009,1.009,0.0,0.0,1.009,0,0,3.2023491281345517,0.09884256994357131,3.2934137198795734
dilation,1.01125,1.01125,0.0,0.0,1.01125,0,0,3.9768556016650196,0.09884256994357131,4.094522275785697
dilation,1.0135,1.0135,0.0,0.0,1.0135,0,0,4.986703830104107,0.09884256994357131,4.886954698334822
dilation,1.01575,1.01575,0.0,0.0,1.01575,0,0,5.679623147608364,0.09884256994357131,5.670819775419784
dilation,1.018,1.018,0.0,0.0,1.018,0,0,6.460644421801519,0.09884256994357131,6.446225129889861
